stock_code,entry_datetime,exit_datetime,entry_price,exit_price,shares,position_value,exit_value,pnl,pnl_pct,candles_held,entry_reason,exit_reason,capital_after_trade
IIFWEA,2025-09-12 12:20:00,2025-09-12 12:40:00,1054.5,1048.9,142,149739.0,148943.80000000002,-795.1999999999825,-0.5310573731626247,4,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.53%,1003481.9500000002
IIFWEA,2025-09-12 12:45:00,2025-09-12 15:15:00,1049.6,1069.1,143,150092.8,152881.3,2788.5,1.8578506097560978,30,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME","TECHNICAL_EXIT (RSI_OVERBOUGHT, BB_OVERBOUGHT): 1.86%",1006270.4500000002
IIFWEA,2025-09-15 10:10:00,2025-09-15 12:10:00,1066.3,1062.5,141,150348.3,149812.5,-535.7999999999884,-0.356372503047915,24,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, HIGH_VOLUME",TRAILING_STOP: -0.36%,1005734.6500000001
IIFWEA,2025-09-16 15:30:00,2025-09-17 11:40:00,1083.0,1102.6,139,150537.0,153261.4,2724.399999999994,1.8097876269621382,30,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD, HIGH_VOLUME","TECHNICAL_EXIT (RSI_OVERBOUGHT, BB_OVERBOUGHT): 1.81%",1008459.0500000002
IIFWEA,2025-09-18 09:50:00,2025-09-19 09:20:00,1100.7,1091.2,137,150795.9,149494.4,-1301.5,-0.8630871263741257,70,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.86%,1007157.5500000002
IIFWEA,2025-09-19 09:25:00,2025-09-19 09:55:00,1092.1,1088.8,138,150709.8,150254.4,-455.3999999999942,-0.30217013094038625,6,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.30%,1006702.1500000003
IIFWEA,2025-09-19 10:05:00,2025-09-19 11:10:00,1089.5,1085.4,138,150351.0,149785.2,-565.7999999999884,-0.37631941257456775,13,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.38%,1006136.3500000003
IIFWEA,2025-09-19 11:20:00,2025-09-19 14:20:00,1085.7,1078.5,139,150912.30000000002,149911.5,-1000.8000000000175,-0.6631666206134406,36,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.66%,1005135.5500000003
IIFWEA,2025-09-19 15:00:00,2025-09-22 09:15:00,1078.7,1077.7,139,149939.30000000002,149800.30000000002,-139.0,-0.09270418095856121,7,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.09%,1004996.5500000003
IIFWEA,2025-09-22 11:05:00,2025-09-22 11:20:00,1076.2,1069.5,140,150668.0,149730.0,-938.0,-0.622560862293254,3,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",TRAILING_STOP: -0.62%,1004058.5500000003
IIFWEA,2025-09-22 12:15:00,2025-09-22 13:05:00,1069.6,1058.3,140,149744.0,148162.0,-1582.0,-1.056469708302169,10,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",STOP_LOSS: -1.06%,1002476.5500000003
IIFWEA,2025-09-22 14:00:00,2025-09-23 09:20:00,1055.4,1044.5,142,149866.80000000002,148319.0,-1547.8000000000175,-1.0327837786621301,20,"Entry signals: MACD_POSITIVE, BB_OVERSOLD, HIGH_VOLUME",STOP_LOSS: -1.03%,1000928.7500000002
IIFWEA,2025-09-23 09:30:00,2025-09-23 10:50:00,1041.4,1038.7,144,149961.6,149572.80000000002,-388.79999999998836,-0.2592663721912732,16,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.26%,1000539.9500000003
IIFWEA,2025-09-23 12:50:00,2025-09-23 13:10:00,1029.3,1023.9,145,149248.5,148465.5,-783.0,-0.5246283882250072,4,"Entry signals: MACD_POSITIVE, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.52%,999756.9500000003
IIFWEA,2025-09-23 13:15:00,2025-09-23 14:00:00,1024.9,1024.4,146,149635.40000000002,149562.40000000002,-73.0,-0.04878524734120401,9,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.05%,999683.9500000003
IIFWEA,2025-09-23 14:50:00,2025-09-24 09:20:00,1024.2,1007.5,146,149533.2,147095.0,-2438.2000000000116,-1.6305409099785273,10,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, BB_OVERSOLD",STOP_LOSS: -1.63%,997245.7500000002
IIFWEA,2025-09-25 09:20:00,2025-09-25 11:15:00,1018.2,1020.3,146,148657.2,148963.8,306.5999999999767,0.20624631703003737,23,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.21%,997552.3500000003
IIFWEA,2025-09-25 15:30:00,2025-09-26 09:20:00,1022.1,1017.8,146,149226.6,148598.8,-627.8000000000175,-0.42070247529597093,2,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.42%,996924.5500000003
IIFWEA,2025-09-26 09:25:00,2025-09-26 11:45:00,1015.2,1004.0,147,149234.4,147588.0,-1646.3999999999942,-1.1032308904649293,28,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",STOP_LOSS: -1.10%,995278.1500000003
IIFWEA,2025-09-26 12:00:00,2025-09-26 14:15:00,1008.6,1008.6,148,149272.80000000002,149272.80000000002,0.0,0.0,27,"Entry signals: RSI_RECOVERY, MACD_POSITIVE, HIGH_VOLUME",TRAILING_STOP: 0.00%,995278.1500000003
IIFWEA,2025-09-26 14:20:00,2025-09-26 15:00:00,1013.5,1002.5,147,148984.5,147367.5,-1617.0,-1.0853478046373952,8,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",STOP_LOSS: -1.09%,993661.1500000003
IIFWEA,2025-09-29 10:55:00,2025-09-29 11:15:00,1021.5,1021.7,145,148117.5,148146.5,29.0,0.01957905041605482,4,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 0.02%,993690.1500000003
IIFWEA,2025-09-29 12:55:00,2025-09-29 14:45:00,1017.3,1028.5,146,148525.8,150161.0,1635.2000000000116,1.1009535043743321,22,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: 1.10%,995325.3500000003
IIFWEA,2025-09-30 11:05:00,2025-09-30 13:50:00,1020.6,1016.7,146,149007.6,148438.2,-569.3999999999942,-0.38212815990593374,33,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.38%,994755.9500000004
IIFWEA,2025-10-01 09:55:00,2025-10-01 11:35:00,1020.3,1014.2,146,148963.8,148073.2,-890.5999999999767,-0.5978633735175773,20,"Entry signals: RSI_RECOVERY, BB_OVERSOLD, HIGH_VOLUME",TRAILING_STOP: -0.60%,993865.3500000003
