Muthoot Finance Limited,MUTFIN,23650
NBCC (India) Limited,NBCC,31415
NCC Limited,NAGCON,2319
NHPC Limited,NHPC,17400
NMDC Limited,NATMIN,15332
NTPC Limited,NTPC,11630
National Aluminium Company Limited,NATALU,6364
Nestle India Limited,NESIND,17963
Nuvama Wealth Management Limited,NUVWEA,18721
Oberoi Realty Limited,OBEREA,20242
Oil & Natural Gas Corporation Limited,ONGC,2475
Oil India Limited,OILIND,17438
One 97 Communications Limited,ONE97,6705
Oracle Financial Services Software Limited,ORAFIN,10738
PB Fintech Limited,PBFINT,6656
PG Electroplast Limited,PGELEC,25358
PI Industries Limited,PIIND,24184
PNB Housing Finance Limited,PNBHOU,18908
Page Industries Limited,PAGIND,14413
Patanjali Foods Limited,RUCSOY,17029
Persistent Systems Limited,PERSYS,18365
Petronet LNG Limited,PETLNG,11351
Pidilite Industries Limited,PIDIND,2664
Piramal Pharma Limited,PIRPHA,11571
Polycab India Limited,POLI,9590
Power Finance Corporation Limited,POWFIN,14299
Power Grid Corporation of India Limited,POWGRI,14977
Prestige Estates Projects Limited,PREEST,20302
Punjab National Bank,PUNBAN,10666
RBL Bank Limited,RBLBAN,18391
REC Limited,RURELE,15355
Rail Vikas Nigam Limited,RAIVIK,9552
Reliance Industries Limited,RELIND,2885
SBI Cards and Payment Services Limited,SBICAR,17971
SBI Life Insurance Company Limited,SBILIF,21808
SHREE CEMENT LIMITED,SHRCEM,3103
SRF Limited,SRF,3273
Sammaan Capital Limited,INDHO,30125
Samvardhana Motherson International Limited,MOTSUM,4204
Shriram Finance Limited,SHRTRA,4306
Siemens Limited,SIEMEN,3150
Solar Industries India Limited,SOLIN,13332
Sona BLW Precision Forgings Limited,SONBLW,4684
State Bank of India,STABAN,3045
Steel Authority of India Limited,SAIL,2963
Sun Pharmaceutical Industries Limited,SUNPHA,3351
Supreme Industries Limited,SUPIND,3363
Suzlon Energy Limited,SUZENE,12018
Syngene International Limited,SYNINT,10243
TATA CONSUMER PRODUCTS LIMITED,TATGLO,3432
TITAGARH RAIL SYSTEMS LIMITED,TITWAG,15414
TVS Motor Company Limited,TVSMOT,8479
Tata Consultancy Services Limited,TCS,11536
Tata Elxsi Limited,TATELX,3411
Tata Motors Limited,TATMOT,3456
Tata Power Company Limited,TATPOW,3426
Tata Steel Limited,TATSTE,3499
Tata Technologies Limited,TATTEC,20293
Tech Mahindra Limited,TECMAH,13538
The Federal Bank Limited,FEDBAN,1023
The Indian Hotels Company Limited,INDHOT,1512
The Phoenix Mills Limited,PHOMIL,14552
Titan Company Limited,TITIND,3506
Torrent Pharmaceuticals Limited,TORPHA,3518
Torrent Power Limited,TORPOW,13786
Trent Limited,TRENT,1964
Tube Investments of India Limited,TUBIN,312
UNO Minda Limited,MININD,14154
UPL Limited,UNIP,11287
UltraTech Cement Limited,ULTCEM,11532
Union Bank of India,UNIBAN,10753
United Spirits Limited,UNISPI,10447
Varun Beverages Limited,VARBEV,18921
Vedanta Limited,VEDLIM,3063
Vodafone Idea Limited,IDECEL,14366
Voltas Limited,VOLTAS,3718
Wipro Limited,WIPRO,3787
Yes Bank Limited,YESBAN,11915
Zydus Lifesciences Limited,CADHEA,7929
